press_time,release_time,key_code
1542245659491,1542245659577,8
1542245664924,1542245665036,70
1542245664901,1542245665069,16
1542245665343,1542245665403,73
1542245665497,1542245665571,78
1542245666131,1542245666251,65
1542245666287,1542245666385,76
1542245666460,1542245666553,32
1542245667330,1542245667419,84
1542245667512,1542245667580,69
1542245667707,1542245667811,83
1542245667863,1542245667962,84
1542245668393,1542245668481,32
1542245669696,1542245669767,186
1542245670531,1542245670624,48
1542245669471,1542245671018,16
1542245671857,1542245671903,190
